Date,Open,High,Low,Close,Adj Close,Volume
07-02-2020,7.27,7.32,7.26,7.3,7.3,107100
10-02-2020,7.25,7.3,7.23,7.28,7.28,117100
11-02-2020,7.29,7.34,7.29,7.33,7.33,50100
12-02-2020,7.36,7.37,7.3,7.31,7.31,70800
13-02-2020,7.35,7.41,7.29,7.37,7.37,281000
14-02-2020,7.26,7.28,7.22,7.23,7.23,73500
18-02-2020,7.19,7.21,7.15,7.17,7.17,29000
19-02-2020,7.13,7.19,7.12,7.15,7.15,47000
20-02-2020,7.11,7.12,7.04,7.06,7.06,92400
21-02-2020,7.09,7.1,7.05,7.07,7.07,613600
24-02-2020,6.76,6.84,6.76,6.78,6.78,187300
25-02-2020,6.68,6.68,6.5,6.52,6.52,182100
26-02-2020,6.56,6.59,6.44,6.46,6.46,190500
27-02-2020,6.17,6.29,6.06,6.06,6.06,153100
28-02-2020,5.89,5.96,5.76,5.91,5.91,340100
02-03-2020,5.81,5.86,5.69,5.86,5.86,180100
03-03-2020,5.79,5.86,5.55,5.6,5.6,331000
04-03-2020,5.57,5.68,5.5,5.68,5.68,1636600
05-03-2020,5.33,5.37,5.22,5.28,5.28,760200
06-03-2020,5.17,5.26,5.1,5.19,5.19,285400
09-03-2020,4.65,4.73,4.2,4.23,4.23,428700
10-03-2020,4.47,4.54,4.29,4.53,4.53,780000
11-03-2020,4.49,4.51,4.26,4.3,4.3,287500
12-03-2020,4,4,3.5,3.59,3.59,843500
13-03-2020,4.13,4.14,3.68,4.14,4.14,709700
16-03-2020,3.19,3.5,3.18,3.22,3.22,584400
17-03-2020,3.29,3.6,3.29,3.59,3.59,651600
18-03-2020,3.31,3.47,3.16,3.22,3.22,352900
19-03-2020,3.21,3.51,3.17,3.35,3.35,505200
20-03-2020,3.26,3.59,3.26,3.48,3.48,260900
23-03-2020,3.53,3.7,3.44,3.44,3.44,236600
24-03-2020,3.69,3.75,3.54,3.71,3.71,414100
25-03-2020,3.87,4.06,3.8,3.94,3.94,275000
26-03-2020,3.91,4.07,3.87,4.07,4.07,284500
27-03-2020,3.85,3.95,3.78,3.87,3.87,205900
30-03-2020,3.61,3.7,3.56,3.7,3.7,543800
31-03-2020,3.64,3.69,3.54,3.55,3.55,361600
01-04-2020,3.41,3.42,3.35,3.36,3.36,288500
02-04-2020,3.29,3.4,3.28,3.37,3.37,397300
03-04-2020,3.27,3.3,3.15,3.18,3.18,306900
06-04-2020,3.3,3.38,3.27,3.35,3.35,633600
07-04-2020,3.69,3.72,3.55,3.58,3.58,711400
