Date,Open,High,Low,Close
22-Apr-19,1973.47,1973.47,1966.23,1966.92
18-Apr-19,1974.17,1974.17,1972.31,1971.86
16-Apr-19,1973.77,1974.59,1973.14,1973.36
15-Apr-19,1972.82,1973.72,1971.89,1973.36
12-Apr-19,1976.47,1976.47,1972.76,1971.62
11-Apr-19,1974.5,1974.66,1974.22,1976.07
10-Apr-19,1974.79,1975.44,1973.58,1974.09
09-Apr-19,1973.36,1973.81,1973.08,1974.39
08-Apr-19,1980.29,1980.29,1974.65,1972.95
05-Apr-19,1984.87,1984.98,1982.16,1979.09
04-Apr-19,1991.18,1994.65,1983.73,1984.47
03-Apr-19,1991.39,1991.85,1989.86,1990.78
02-Apr-19,1983.56,1990.19,1983.45,1990.99
01-Apr-19,1983.56,1983.56,1983.56,1983.16
29-Mar-19,1982.99,1983.74,1982.5,1983.46
28-Mar-19,1982.2,1984.56,1982.2,1982.6
27-Mar-19,1980.64,1981.34,1980.04,1981.81
26-Mar-19,1982.09,1982.09,1980.32,1980.24
25-Mar-19,1979.6,1982.07,1979.6,1981.7
22-Mar-19,1975.55,1979.52,1975.55,1978.44
20-Mar-19,1974.02,1975.45,1973.51,1974.77
19-Mar-19,1977.21,1977.46,1972.65,1973.63
18-Mar-19,1976.05,1980.13,1976.05,1976.82
15-Mar-19,1972.13,1975.73,1971.51,1974.9
14-Mar-19,1968.65,1974.09,1968.65,1971.74
13-Mar-19,1969.58,1969.82,1968.2,1968.26
12-Mar-19,1969.02,1970.35,1968.1,1969.19
11-Mar-19,1968.04,1969.92,1967.9,1968.63
08-Mar-19,1964.4,1967.03,1964.4,1966.88
07-Mar-19,1964.45,1964.71,1963.92,1964.01
06-Mar-19,1964.78,1965.45,1963.46,1964.06
05-Mar-19,1964.31,1965.88,1964.31,1964.39
01-Mar-19,1960.53,1962.96,1960.53,1962.76
