Date, Open, High, Low, Close, Volume
10/22/19, 13.924, 13.924, 13.924, 13.924, 39907
10/21/19, 13.846, 13.846, 13.846, 13.846, 58577
10/18/19, 13.823, 13.823, 13.823, 13.823, 46671
10/17/19, 13.972, 13.972, 13.972, 13.972, 13920
10/16/19, 13.895, 13.895, 13.895, 13.895, 22738
10/15/19, 13.87, 13.87, 13.87, 13.87, 37221
10/14/19, 13.844, 13.844, 13.844, 13.844, 61382
10/11/19, 13.692, 13.692, 13.692, 13.692, 44710
10/10/19, 13.44, 13.44, 13.44, 13.44, 40683
10/09/19, 13.332, 13.332, 13.332, 13.332, 43343
10/08/19, 13.336, 13.336, 13.336, 13.336, 23144
10/07/19, 13.157, 13.157, 13.157, 13.157, 30304
10/04/19, 13.157, 13.157, 13.157, 13.157, 37941
10/03/19, 13.362, 13.362, 13.362, 13.362, 28044
10/02/19, 13.338, 13.338, 13.338, 13.338, 30690
10/01/19, 13.389, 13.389, 13.389, 13.389, 42390
