,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
84,2020-04-23,5127.978034406958,-5870.174026872594,16773.936959398572,5127.978034406958,5127.978034406958,-10.532649171327614,-10.532649171327614,-10.532649171327614,-10.532649171327614,-10.532649171327614,-10.532649171327614,0.0,0.0,0.0,5117.44538523563
85,2020-04-24,5625.490817341269,-5794.696059231654,16837.34659980277,5625.490817341268,5625.490817341268,108.50360594233294,108.50360594233294,108.50360594233294,108.50360594233294,108.50360594233294,108.50360594233294,0.0,0.0,0.0,5733.9944232836015
86,2020-04-25,6123.00360027558,-5006.440540714644,18410.581569180118,6123.00360027558,6123.00360027558,643.672185709045,643.672185709045,643.672185709045,643.672185709045,643.672185709045,643.672185709045,0.0,0.0,0.0,6766.675785984625
87,2020-04-26,6620.516383209899,-3127.001291873641,18509.254912463828,6620.516383209899,6620.516383209899,912.9633457911216,912.9633457911216,912.9633457911216,912.9633457911216,912.9633457911216,912.9633457911216,0.0,0.0,0.0,7533.47972900102
88,2020-04-27,7118.029166144209,-4871.170087525206,17332.510234426514,7118.029166144209,7118.029166144209,-539.5968216661108,-539.5968216661108,-539.5968216661108,-539.5968216661108,-539.5968216661108,-539.5968216661108,0.0,0.0,0.0,6578.4323444780985
89,2020-04-28,7615.54194907852,-3573.911050313697,18531.990259295002,7615.54194907852,7615.54194907852,-389.47263577896575,-389.47263577896575,-389.47263577896575,-389.47263577896575,-389.47263577896575,-389.47263577896575,0.0,0.0,0.0,7226.069313299554
90,2020-04-29,8312.581528386185,-4012.085982801234,18566.39794681393,8312.581528386185,8312.581528386185,-725.5370308251366,-725.5370308251366,-725.5370308251366,-725.5370308251366,-725.5370308251366,-725.5370308251366,0.0,0.0,0.0,7587.044497561048
91,2020-04-30,9009.621107693842,-2571.6541776188005,20896.62313006759,9009.621107693842,9009.621107693842,-10.532649169628563,-10.532649169628563,-10.532649169628563,-10.532649169628563,-10.532649169628563,-10.532649169628563,0.0,0.0,0.0,8999.088458524213
92,2020-05-01,9706.660687001498,-1757.4023666839844,21191.209857059825,9706.660687001498,9706.660687001498,108.50360594343738,108.50360594343738,108.50360594343738,108.50360594343738,108.50360594343738,108.50360594343738,0.0,0.0,0.0,9815.164292944935
93,2020-05-02,10403.700266309148,500.68972954232385,22117.443857233407,10403.700266309148,10403.700266309148,643.6721857070307,643.6721857070307,643.6721857070307,643.6721857070307,643.6721857070307,643.6721857070307,0.0,0.0,0.0,11047.37245201618
94,2020-05-03,11100.739845616812,433.36194690264824,23580.90333209525,11100.739845616812,11100.739845616812,912.9633457910428,912.9633457910428,912.9633457910428,912.9633457910428,912.9633457910428,912.9633457910428,0.0,0.0,0.0,12013.703191407854
95,2020-05-04,12289.431999793413,-163.57544130866106,22260.47207415059,12289.43199979341,12289.43199979341,-539.5968216669689,-539.5968216669689,-539.5968216669689,-539.5968216669689,-539.5968216669689,-539.5968216669689,0.0,0.0,0.0,11749.835178126443
96,2020-05-05,13478.124153970011,2035.6754540068969,24195.06613223099,13478.124153970011,13478.124153970011,-389.4726357792713,-389.4726357792713,-389.4726357792713,-389.4726357792713,-389.4726357792713,-389.4726357792713,0.0,0.0,0.0,13088.65151819074
97,2020-05-06,14666.816308146612,3307.8658752383853,24980.641201832503,14666.816308146612,14666.816308146612,-725.5370308258417,-725.5370308258417,-725.5370308258417,-725.5370308258417,-725.5370308258417,-725.5370308258417,0.0,0.0,0.0,13941.27927732077
98,2020-05-07,15855.508462323212,4989.427041360281,27257.526589848323,15855.508462323212,15855.508462323212,-10.532649169946543,-10.532649169946543,-10.532649169946543,-10.532649169946543,-10.532649169946543,-10.532649169946543,0.0,0.0,0.0,15844.975813153265
99,2020-05-08,17044.200616499813,5782.232487077424,28523.71909009591,17044.200616499813,17044.200616499813,108.50360594200379,108.50360594200379,108.50360594200379,108.50360594200379,108.50360594200379,108.50360594200379,0.0,0.0,0.0,17152.70422244182
100,2020-05-09,18232.89277067641,7364.562348941906,29821.339974778944,18232.89277067641,18232.89277067641,643.6721857091139,643.6721857091139,643.6721857091139,643.6721857091139,643.6721857091139,643.6721857091139,0.0,0.0,0.0,18876.564956385526
101,2020-05-10,20488.921736715885,10657.261404066901,32699.715650637903,20488.921736715885,20488.921736715885,912.9633457909637,912.9633457909637,912.9633457909637,912.9633457909637,912.9633457909637,912.9633457909637,0.0,0.0,0.0,21401.885082506848
102,2020-05-11,22744.95070275536,11091.705700500805,33395.04269199565,22744.95070275536,22744.95070275536,-539.5968216670175,-539.5968216670175,-539.5968216670175,-539.5968216670175,-539.5968216670175,-539.5968216670175,0.0,0.0,0.0,22205.35388108834
103,2020-05-12,25000.979668794833,12756.963475858833,36303.92690643258,25000.979668794833,25000.979668794833,-389.47263577907995,-389.47263577907995,-389.47263577907995,-389.47263577907995,-389.47263577907995,-389.47263577907995,0.0,0.0,0.0,24611.507033015754
104,2020-05-13,27257.008634834307,15178.745398431427,37567.187688532336,27257.008634834307,27257.008634834307,-725.5370308267542,-725.5370308267542,-725.5370308267542,-725.5370308267542,-725.5370308267542,-725.5370308267542,0.0,0.0,0.0,26531.47160400755
105,2020-05-14,29513.037600873813,18676.356665504394,41275.80024025193,29513.037600873813,29513.037600873813,-10.532649170264552,-10.532649170264552,-10.532649170264552,-10.532649170264552,-10.532649170264552,-10.532649170264552,0.0,0.0,0.0,29502.504951703548
106,2020-05-15,32620.237624048645,21645.93704213061,44310.81859249663,32620.237624048645,32620.237624048645,108.50360594294726,108.50360594294726,108.50360594294726,108.50360594294726,108.50360594294726,108.50360594294726,0.0,0.0,0.0,32728.741229991592
107,2020-05-16,35727.43764722348,24347.08668595126,47796.178395931856,35727.43764722348,35727.43764722348,643.6721857066636,643.6721857066636,643.6721857066636,643.6721857066636,643.6721857066636,643.6721857066636,0.0,0.0,0.0,36371.109832930146
108,2020-05-17,38834.63767039831,28962.971666307076,51107.95405069008,38834.63767039831,38834.63767039831,912.9633457891773,912.9633457891773,912.9633457891773,912.9633457891773,912.9633457891773,912.9633457891773,0.0,0.0,0.0,39747.60101618749
109,2020-05-18,41941.83769357314,29860.716910541414,53100.0111342151,41941.83769357314,41941.83769357314,-539.5968216649741,-539.5968216649741,-539.5968216649741,-539.5968216649741,-539.5968216649741,-539.5968216649741,0.0,0.0,0.0,41402.24087190817
110,2020-05-19,45049.037716747975,32775.158613208056,55999.418337503696,45049.037716747975,45049.037716747975,-389.47263577888816,-389.47263577888816,-389.47263577888816,-389.47263577888816,-389.47263577888816,-389.47263577888816,0.0,0.0,0.0,44659.565080969085
111,2020-05-20,48199.21983743329,35041.122098545624,58342.70386092515,48199.21983743329,48199.21983743329,-725.5370308262019,-725.5370308262019,-725.5370308262019,-725.5370308262019,-725.5370308262019,-725.5370308262019,0.0,0.0,0.0,47473.68280660709
112,2020-05-21,51349.40195811861,40853.128976208165,62162.14220098017,51349.40195811861,51349.40195811861,-10.532649170582532,-10.532649170582532,-10.532649170582532,-10.532649170582532,-10.532649170582532,-10.532649170582532,0.0,0.0,0.0,51338.86930894802
113,2020-05-22,54499.584078803855,42813.329785694645,65478.761765243005,54499.584078803855,54499.584078803855,108.50360594389096,108.50360594389096,108.50360594389096,108.50360594389096,108.50360594389096,108.50360594389096,0.0,0.0,0.0,54608.08768474775
